"","Group.1","Group.2","ANADOLU.EFES.BIRACILIK.LTD.","AFYON.CIMENTO","AKBANK","AKENERJI.ELEKTRIK.URETIM","AKSA.AKRILIK.KIMYA.SYI.","AKSA.ENERJI.URETIM","ALARKO.HOLDING","ALBARAKA.TURK","ALARKO.GAYMEN.YATOTA.","ALKIM.ALKALI.KIMYA","ANADOLU.CAM.SANAYII","ARCELIK","ASELSAN.ELNK.SANVETC.","AYEN.ENERJI","AYGAZ","BAGFAS.BANDIRMA.GUBRE","BANVIT","BIM.BIRLESIK.MAGAZALAR","BIZIM.TOPTAN.SATIS.MAGAZALARI.LTD.","BESIKTAS.FUTBOL","BRISA.BDGSN.SLK.SANVETC.","COCA.COLA.ICECEK","CEMTAS.CK.MAKINA.SANVETC","CELEBI.HAVA.SERVISI","CARREFOURSA.CFR.SAB","DEVA.HOLDING","DOGUS.OTO.SERVIS.VTC.","DO...CO.REST....IST..CATER.","DOGAN.SRKGRBU.HLDG.","EIS.ECZACIBASI.LLAC.SINAI.VE.FIAL.YATIRIMLAR","EGE.ENDI.VE.TICARET","EMLAK.KONUT.GAYRIMENKUL.YATOTA.","ENKA.INSAAT.VE.SANAYI","ERBOSAN.ERCIYAS.BORU","EREGLI.DEMIR.CELIK","FENERBAHCE.SPORTIF.HIZMETLER","FORD.OTOMOTIV.SANAYI","TKI.GARANTI.BKSI.","GLOBAL.YATIRIM.HLDG.","GOLTAS","GOODYEAR.LASTIKLERI","GOZDE.GIRISIM.SERMAYESI.YATOTA.","GSD.HOLDING","GALATASARAY.SPORTIF","GUBRE.FABRIKALARI","TURKIYE.HALK.BANKASI","HALK.GAYRIMENK.A","IHLAS.HOLDING","IPEK.MATBAACILIK.SANVETC.","TURKIYE.IS.BANKASI.C","IS.REAL.ESTATE.INVESTMENT.TRUST","IZMIR.DEMIR.CELIK.SANAYI","KARSAN.OMV.SANVETC.","KARTONSAN.KARTON.SANVETC.","KOC.HOLDING","TESCO.KIPA.KITLE.PAZARLAMA.B","KONYA.CIMENTO.SANAYI","KORDSA.TEKNIK.TEKSTIL.A","KOZA.ANADOLU.MTL.MIE.","KOZA.ALTIN.ISLETMELERI","KARDEMIR.D","LOGO.YAZLIM","MEO.TICARI.VE.MALI.YATIRIMLAR.ANONIM","MIGROS.TICARET","NORTEL.NETWKS.NETAS.TKS.","NET.TURIZM.TIVSNY.","NUROL.GAYMEN.YATOTA.","ODAS.ELEKTRIK.B","OTOKAR.OMV.VE.SAVUNMA","PETKIM.PETROKIMYA.HLDG.","PEGASUS.HAVA.TASIMACILIGI.A.LTD.","POLISAN.HOLDING","PARK.ELEKT.URETIM.MADENCILIK.SANVETC.","HACI.OMER.SABANCI.HLDG.","SASA.POLYESTER.A","SELCUK.ECZA.DEPOSU","TKI.SISE.VE.CAM.FKI.","SODA.SANAYI","TAT.GIDA.SANAYI","TAV.HAVALIMANLARI","TURKCELL.ILETISIM.HZM.","TURK.HAVA.YOLLARI","TEKFEN.HOLDING","TUMOSAN.MOTOR.A","TOFAS.TURK.OTOM.FABK.","TORUNLAR.GAYRIMENKUL.YATIRIM.ORTAKLIGI","TRAKYA.CAM.SANAYI","TKI.SINAI.KALK.BKSI.","TRABZON.SPORTIF.YTM.VTC.","TURK.TELEKOMUNIKASYON","TURK.TKTR.VE.ZIRAAT.MKE.","TUPRAS.TKI.PEL.RFNE.","ULKER.BISKUVI.SANAYI","TKI.VAKIFLAR.BANKASI","VESTEL.BEYAZ.ESYA.SANVETC.","VESTEL.ELNK.SANVETC.","VAKIF.GAYMEN.YATOTA.","YATAS.YAVYGN.SATT.","YAPI.VE.KREDI.BANKASI","ZORLU.ENERJI"
"71",11,2009,0.19047619047619,0.142857142857143,0.142857142857143,0.238095238095238,0.0952380952380952,1,0.19047619047619,0.285714285714286,0.285714285714286,0.285714285714286,0.142857142857143,0.142857142857143,0.238095238095238,0.238095238095238,0.142857142857143,0.19047619047619,0.142857142857143,0.380952380952381,1,0.238095238095238,0.19047619047619,0.380952380952381,0.380952380952381,0.142857142857143,1,0.238095238095238,0.19047619047619,1,0.142857142857143,0.142857142857143,0.285714285714286,1,0.285714285714286,0.142857142857143,0.285714285714286,0.380952380952381,0.142857142857143,0.285714285714286,0.285714285714286,0.142857142857143,0.523809523809524,1,0.238095238095238,0.238095238095238,0.238095238095238,0.19047619047619,1,0.523809523809524,0.19047619047619,0.238095238095238,0.19047619047619,0.285714285714286,0.238095238095238,0.19047619047619,0.238095238095238,0.238095238095238,0.238095238095238,0.19047619047619,0.0952380952380952,1,0.476190476190476,0.285714285714286,0.19047619047619,0.238095238095238,0.0952380952380952,0.285714285714286,0.666666666666667,1,0.285714285714286,0.285714285714286,1,1,0.142857142857143,0.285714285714286,0.476190476190476,0.238095238095238,0.238095238095238,0.19047619047619,0.19047619047619,0.238095238095238,0.333333333333333,0.0952380952380952,0.0952380952380952,1,0.285714285714286,1,0.19047619047619,0.428571428571429,0.285714285714286,0.0952380952380952,0.142857142857143,0.333333333333333,0.19047619047619,0.333333333333333,0.142857142857143,0.142857142857143,0.142857142857143,0.19047619047619,0.333333333333333,0.142857142857143
"72",12,2009,0.0869565217391304,0.130434782608696,0.0434782608695652,0.0869565217391304,0,1,0.217391304347826,0.347826086956522,0.173913043478261,0.130434782608696,0.260869565217391,0.260869565217391,0.173913043478261,0.217391304347826,0.173913043478261,0.0434782608695652,0.0869565217391304,0.173913043478261,1,0.260869565217391,0.304347826086957,0.304347826086957,0.130434782608696,0.130434782608696,1,0.173913043478261,0.173913043478261,1,0.217391304347826,0.0434782608695652,0.0434782608695652,1,0.130434782608696,0.260869565217391,0.391304347826087,0.347826086956522,0.130434782608696,0.130434782608696,0.260869565217391,0.173913043478261,0.521739130434783,1,0.434782608695652,0.304347826086957,0.304347826086957,0.217391304347826,1,0.565217391304348,0.0869565217391304,0.130434782608696,0.173913043478261,0.260869565217391,0.304347826086957,0.260869565217391,0.0869565217391304,0.260869565217391,0.130434782608696,0.260869565217391,0.217391304347826,1,0.521739130434783,0,0.260869565217391,0.130434782608696,0,0.217391304347826,0.782608695652174,1,0.130434782608696,0.217391304347826,1,1,0.130434782608696,0.217391304347826,0.478260869565217,0.173913043478261,0.173913043478261,0.521739130434783,0.173913043478261,0.0434782608695652,0.173913043478261,0.217391304347826,0.0434782608695652,1,0.173913043478261,1,0.260869565217391,0.434782608695652,0.217391304347826,0.217391304347826,0.173913043478261,0.347826086956522,0.173913043478261,0.130434782608696,0.173913043478261,0.0434782608695652,0.173913043478261,0.260869565217391,0.391304347826087,0.304347826086957
"73",1,2010,0.285714285714286,0.142857142857143,0.19047619047619,0.19047619047619,0.238095238095238,1,0.142857142857143,0.142857142857143,0.142857142857143,0.333333333333333,0.142857142857143,0.0476190476190476,0.19047619047619,0.380952380952381,0.19047619047619,0.19047619047619,0.142857142857143,0.333333333333333,1,0.285714285714286,0.0952380952380952,0.285714285714286,0.333333333333333,0.142857142857143,1,0.142857142857143,0.19047619047619,1,0.285714285714286,0.142857142857143,0.238095238095238,1,0.19047619047619,0.238095238095238,0.142857142857143,0.142857142857143,0.19047619047619,0.19047619047619,0.142857142857143,0.142857142857143,0.333333333333333,0.80952380952381,0.523809523809524,0.285714285714286,0.0476190476190476,0.238095238095238,1,0.476190476190476,0.0476190476190476,0.238095238095238,0.380952380952381,0.523809523809524,0.238095238095238,0.142857142857143,0.0952380952380952,0.285714285714286,0.0952380952380952,0.333333333333333,0.142857142857143,1,0.571428571428571,0.142857142857143,0.285714285714286,0.333333333333333,0.142857142857143,0.19047619047619,0.857142857142857,1,0.238095238095238,0.238095238095238,1,1,0.19047619047619,0.238095238095238,0.285714285714286,0.19047619047619,0.333333333333333,0.571428571428571,0.142857142857143,0.238095238095238,0.19047619047619,0.238095238095238,0.142857142857143,1,0.285714285714286,1,0.19047619047619,0.523809523809524,0.19047619047619,0.142857142857143,0.0952380952380952,0.19047619047619,0.142857142857143,0.142857142857143,0.238095238095238,0.142857142857143,0.142857142857143,0.285714285714286,0.0952380952380952,0.19047619047619
"74",2,2010,0.15,0,0.05,0,0.1,1,0.15,0.1,0.05,0.2,0.05,0.2,0.1,0.15,0.1,0.05,0.05,0.15,1,0.25,0.05,0.35,0.1,0.1,1,0.1,0.25,1,0.15,0.25,0.1,1,0.1,0.1,0.15,0.2,0.1,0.1,0.05,0,0.3,0.2,0.6,0.05,0.1,0.1,1,0.1,0.05,0,0.15,0.15,0.1,0,0,0.05,0.15,0.05,0.05,0.55,0.35,0.1,0.15,0.25,0.1,0.25,0.75,1,0.1,0.1,1,1,0.15,0.1,0.2,0.1,0.15,0.2,0.05,0.2,0.05,0.05,0.1,1,0.15,1,0.05,0.05,0.2,0.1,0.3,0.15,0.05,0.1,0.1,0.1,0.1,0.2,0,0.15
"75",3,2010,0.173913043478261,0.173913043478261,0.173913043478261,0.304347826086957,0.0869565217391304,1,0.0869565217391304,0.260869565217391,0.0434782608695652,0.260869565217391,0.217391304347826,0.217391304347826,0.217391304347826,0.0869565217391304,0.217391304347826,0.173913043478261,0.260869565217391,0.130434782608696,1,0.130434782608696,0.0869565217391304,0.217391304347826,0.0869565217391304,0.130434782608696,1,0.130434782608696,0.130434782608696,1,0.304347826086957,0.217391304347826,0.0869565217391304,1,0.217391304347826,0.0434782608695652,0.0869565217391304,0.347826086956522,0.217391304347826,0.130434782608696,0.391304347826087,0.130434782608696,0.260869565217391,0.217391304347826,0.304347826086957,0.0869565217391304,0.0869565217391304,0.130434782608696,1,0.347826086956522,0.217391304347826,0.0869565217391304,0.260869565217391,0.304347826086957,0.0869565217391304,0.130434782608696,0.173913043478261,0.217391304347826,0,0.173913043478261,0.0869565217391304,0.391304347826087,0.478260869565217,0.173913043478261,0.173913043478261,0.0869565217391304,0.130434782608696,0.391304347826087,0.739130434782609,1,0.173913043478261,0.217391304347826,1,1,0.130434782608696,0.173913043478261,0.521739130434783,0.130434782608696,0.217391304347826,0.260869565217391,0.0434782608695652,0.130434782608696,0.130434782608696,0.434782608695652,0.217391304347826,1,0.217391304347826,1,0.173913043478261,0.217391304347826,0.130434782608696,0.434782608695652,0.304347826086957,0.304347826086957,0.0869565217391304,0,0.0869565217391304,0.0434782608695652,0.347826086956522,0.0434782608695652,0.130434782608696,0.304347826086957
"76",4,2010,0.272727272727273,0.181818181818182,0.0909090909090909,0.136363636363636,0.136363636363636,1,0.136363636363636,0.227272727272727,0.0909090909090909,0.0454545454545455,0.227272727272727,0.409090909090909,0.318181818181818,0.0909090909090909,0.318181818181818,0.136363636363636,0.181818181818182,0.272727272727273,1,0.272727272727273,0.181818181818182,0.227272727272727,0.181818181818182,0.136363636363636,1,0.181818181818182,0.227272727272727,1,0.409090909090909,0.0909090909090909,0.136363636363636,1,0.136363636363636,0.227272727272727,0.0909090909090909,0.318181818181818,0.227272727272727,0.136363636363636,0.409090909090909,0.227272727272727,0.363636363636364,0.318181818181818,0.409090909090909,0.0909090909090909,0.318181818181818,0.227272727272727,1,0.454545454545455,0.227272727272727,0.136363636363636,0.181818181818182,0.227272727272727,0.181818181818182,0.363636363636364,0.181818181818182,0.0909090909090909,0.272727272727273,0.227272727272727,0.0909090909090909,0.181818181818182,0.409090909090909,0.227272727272727,0.272727272727273,0.181818181818182,0.318181818181818,0.454545454545455,0.681818181818182,1,0.227272727272727,0.227272727272727,1,1,0.136363636363636,0.272727272727273,0.636363636363636,0.136363636363636,0.227272727272727,0.454545454545455,0.318181818181818,0.136363636363636,0.454545454545455,0.136363636363636,0.318181818181818,1,0.181818181818182,1,0.318181818181818,0.818181818181818,0.0909090909090909,0.272727272727273,0.363636363636364,0.227272727272727,0.318181818181818,0.0909090909090909,0.227272727272727,0.181818181818182,0.181818181818182,0.136363636363636,0.136363636363636,0.136363636363636
"77",5,2010,0.238095238095238,0.0476190476190476,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.761904761904762,0.142857142857143,0.142857142857143,0.142857142857143,0.285714285714286,0.0952380952380952,0.0476190476190476,0.142857142857143,0.142857142857143,0.19047619047619,0.0952380952380952,0.142857142857143,0.0952380952380952,1,0.285714285714286,0.0476190476190476,0.0476190476190476,0.142857142857143,0.142857142857143,1,0.142857142857143,0.142857142857143,1,0.19047619047619,0.0476190476190476,0.0952380952380952,1,0.238095238095238,0.0952380952380952,0.0952380952380952,0.142857142857143,0.0952380952380952,0.142857142857143,0.380952380952381,0.0476190476190476,0.333333333333333,0.285714285714286,0.19047619047619,0.19047619047619,0.142857142857143,0.0476190476190476,1,0.333333333333333,0.19047619047619,0.0476190476190476,0.142857142857143,0.142857142857143,0.0952380952380952,0.0952380952380952,0.285714285714286,0.0952380952380952,0.0952380952380952,0.0476190476190476,0.0952380952380952,0.0952380952380952,0.238095238095238,0.0476190476190476,0.142857142857143,0.0952380952380952,0.0952380952380952,0.380952380952381,0.619047619047619,1,0.0952380952380952,0.142857142857143,1,1,0.142857142857143,0.0952380952380952,0.238095238095238,0.19047619047619,0.238095238095238,0.285714285714286,0.142857142857143,0.0952380952380952,0.0952380952380952,0.0476190476190476,0.142857142857143,1,0.0952380952380952,1,0.19047619047619,0.285714285714286,0.142857142857143,0.142857142857143,0.0952380952380952,0.142857142857143,0.142857142857143,0.0952380952380952,0.19047619047619,0.0952380952380952,0.142857142857143,0.19047619047619,0.0952380952380952,0.0952380952380952
"78",6,2010,0.181818181818182,0.181818181818182,0.0909090909090909,0.272727272727273,0.0909090909090909,0.0909090909090909,0.363636363636364,0.0454545454545455,0.227272727272727,0.181818181818182,0.227272727272727,0.181818181818182,0.454545454545455,0.227272727272727,0.318181818181818,0.272727272727273,0.454545454545455,0.0454545454545455,1,0.227272727272727,0.136363636363636,0.227272727272727,0.454545454545455,0.181818181818182,1,0.318181818181818,0.136363636363636,1,0.181818181818182,0.136363636363636,0.272727272727273,1,0.136363636363636,0.227272727272727,0.181818181818182,0.363636363636364,0.272727272727273,0.227272727272727,0.454545454545455,0.272727272727273,0.409090909090909,0.409090909090909,0.454545454545455,0.136363636363636,0.227272727272727,0.0909090909090909,1,0.545454545454545,0.0909090909090909,0.136363636363636,0.227272727272727,0.272727272727273,0.136363636363636,0.0909090909090909,0.227272727272727,0.136363636363636,0.227272727272727,0.272727272727273,0.0454545454545455,0.0909090909090909,0.5,0.0454545454545455,0.409090909090909,0.272727272727273,0.318181818181818,0.318181818181818,0.863636363636364,1,0,0.5,1,1,0.227272727272727,0.181818181818182,0.5,0.181818181818182,0.227272727272727,0.227272727272727,0.272727272727273,0.0454545454545455,0.0454545454545455,0.0909090909090909,0.272727272727273,1,0.0909090909090909,1,0.363636363636364,0.363636363636364,0.181818181818182,0.181818181818182,0.0454545454545455,0.136363636363636,0.0909090909090909,0.0454545454545455,0.181818181818182,0.136363636363636,0.318181818181818,0.181818181818182,0.136363636363636,0.272727272727273
"79",7,2010,0.272727272727273,0.318181818181818,0.136363636363636,0.181818181818182,0.181818181818182,0.363636363636364,0.0909090909090909,0.0909090909090909,0.227272727272727,0.136363636363636,0.136363636363636,0.181818181818182,0.363636363636364,0.136363636363636,0.181818181818182,0.227272727272727,0.181818181818182,0.0909090909090909,1,0.0454545454545455,0.272727272727273,0.181818181818182,0.409090909090909,0.0909090909090909,1,0.318181818181818,0.318181818181818,1,0.227272727272727,0.227272727272727,0.181818181818182,1,0.227272727272727,0.318181818181818,0.272727272727273,0.227272727272727,0.227272727272727,0.136363636363636,0.318181818181818,0.136363636363636,0.409090909090909,0.681818181818182,0.363636363636364,0.0909090909090909,0.181818181818182,0.136363636363636,1,0.454545454545455,0.318181818181818,0.227272727272727,0.272727272727273,0.409090909090909,0.181818181818182,0.181818181818182,0.5,0.0454545454545455,0.0909090909090909,0.318181818181818,0.227272727272727,0.0909090909090909,0.5,0.136363636363636,0.227272727272727,0.227272727272727,0.363636363636364,0.727272727272727,0.909090909090909,1,0.272727272727273,0.318181818181818,1,1,0,0.136363636363636,0.590909090909091,0.318181818181818,0.181818181818182,0.454545454545455,0.227272727272727,0.0454545454545455,0.181818181818182,0.0454545454545455,0.0909090909090909,1,0.181818181818182,1,0.181818181818182,0.227272727272727,0.181818181818182,0.272727272727273,0.272727272727273,0.0909090909090909,0.136363636363636,0.136363636363636,0.0909090909090909,0.0454545454545455,0.545454545454545,0.181818181818182,0,0.363636363636364
"80",8,2010,0.181818181818182,0.318181818181818,0.181818181818182,0.0454545454545455,0.227272727272727,0.227272727272727,0.590909090909091,0.272727272727273,0.272727272727273,0.136363636363636,0.272727272727273,0.181818181818182,0.227272727272727,0.227272727272727,0.318181818181818,0.181818181818182,0.0909090909090909,0.136363636363636,1,0.136363636363636,0.272727272727273,0.136363636363636,0.454545454545455,0.272727272727273,1,0.409090909090909,0.272727272727273,1,0.363636363636364,0.227272727272727,0.272727272727273,1,0.545454545454545,0.227272727272727,0.272727272727273,0.227272727272727,0.227272727272727,0.227272727272727,0.5,0.318181818181818,0.227272727272727,0.772727272727273,0.590909090909091,0.136363636363636,0.227272727272727,0.181818181818182,1,0.363636363636364,0.272727272727273,0.272727272727273,0.409090909090909,0.727272727272727,0.227272727272727,0.136363636363636,0.363636363636364,0.318181818181818,0.363636363636364,0.227272727272727,0.136363636363636,0.227272727272727,0.545454545454545,0.318181818181818,0.272727272727273,0.272727272727273,0.5,0.5,0.954545454545455,1,0.409090909090909,0.272727272727273,1,1,0.181818181818182,0.227272727272727,0.454545454545455,0.272727272727273,0.227272727272727,0.454545454545455,0.272727272727273,0.272727272727273,0.363636363636364,0.0454545454545455,0.181818181818182,1,0.227272727272727,1,0.181818181818182,0.5,0.181818181818182,0.272727272727273,0.272727272727273,0.136363636363636,0.363636363636364,0.227272727272727,0.227272727272727,0.0454545454545455,0.590909090909091,0.5,0.272727272727273,0.227272727272727
"81",9,2010,0.181818181818182,0.318181818181818,0.181818181818182,0.181818181818182,0.181818181818182,0.318181818181818,0.454545454545455,0.318181818181818,0.181818181818182,0.318181818181818,0.363636363636364,0.5,0.318181818181818,0.272727272727273,0.5,0.318181818181818,0.409090909090909,0.227272727272727,1,0.0909090909090909,0.181818181818182,0.136363636363636,0.545454545454545,0.136363636363636,1,0.363636363636364,0.318181818181818,1,0.272727272727273,0.227272727272727,0.318181818181818,1,0.363636363636364,0.318181818181818,0.318181818181818,0.136363636363636,0.272727272727273,0.272727272727273,0.590909090909091,0.318181818181818,0.363636363636364,0.363636363636364,0.681818181818182,0.181818181818182,0.363636363636364,0.227272727272727,1,0.409090909090909,0.318181818181818,0.363636363636364,0.409090909090909,0.545454545454545,0.545454545454545,0.227272727272727,0.409090909090909,0.318181818181818,0.181818181818182,0.318181818181818,0.227272727272727,0.227272727272727,0.5,0.272727272727273,0.363636363636364,0.5,0.272727272727273,0.409090909090909,0.590909090909091,1,0.5,0.227272727272727,1,1,0.318181818181818,0.363636363636364,0.727272727272727,0.227272727272727,0.409090909090909,0.363636363636364,0.363636363636364,0.227272727272727,0.181818181818182,0.409090909090909,0.272727272727273,1,0.181818181818182,1,0.181818181818182,0.318181818181818,0.136363636363636,0.409090909090909,0.363636363636364,0.181818181818182,0.318181818181818,0.227272727272727,0.227272727272727,0.181818181818182,0.363636363636364,0.318181818181818,0.227272727272727,0.272727272727273
"82",10,2010,0.142857142857143,0.142857142857143,0.0952380952380952,0.142857142857143,0.19047619047619,0.19047619047619,0.0952380952380952,0.142857142857143,0.238095238095238,0.285714285714286,0.285714285714286,0.238095238095238,0.238095238095238,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.238095238095238,1,0.142857142857143,0.19047619047619,0.19047619047619,0.333333333333333,0.142857142857143,1,0.19047619047619,0.19047619047619,1,0.476190476190476,0.285714285714286,0.19047619047619,1,0.285714285714286,0.333333333333333,0.19047619047619,0.142857142857143,0.333333333333333,0.19047619047619,0.238095238095238,0.238095238095238,0.238095238095238,0.0476190476190476,0.428571428571429,0.238095238095238,0.19047619047619,0.238095238095238,1,0.142857142857143,0.142857142857143,0.142857142857143,0.333333333333333,0.285714285714286,0.238095238095238,0.142857142857143,0.333333333333333,0.285714285714286,0.523809523809524,0.285714285714286,0.0952380952380952,0.142857142857143,0.571428571428571,0.142857142857143,0.19047619047619,0.571428571428571,0.19047619047619,0.428571428571429,0.523809523809524,1,0.19047619047619,0.380952380952381,1,1,0.19047619047619,0.238095238095238,0.428571428571429,0.238095238095238,0.380952380952381,0.380952380952381,0.0952380952380952,0.142857142857143,0.19047619047619,0.285714285714286,0.238095238095238,1,0.142857142857143,0.80952380952381,0.285714285714286,0.285714285714286,0.142857142857143,0.238095238095238,0.238095238095238,0.238095238095238,0.19047619047619,0.0476190476190476,0.380952380952381,0.0952380952380952,0.428571428571429,0.19047619047619,0.142857142857143,0.285714285714286
"83",11,2010,0.181818181818182,0.227272727272727,0.272727272727273,0.227272727272727,0.227272727272727,0.227272727272727,0.181818181818182,0.272727272727273,0.227272727272727,0.227272727272727,0.227272727272727,0.272727272727273,0.272727272727273,0.227272727272727,0.181818181818182,0.181818181818182,0.227272727272727,0.272727272727273,1,0.181818181818182,0.363636363636364,0.272727272727273,0.5,0.227272727272727,1,0.227272727272727,0.363636363636364,1,0.409090909090909,0.227272727272727,0.227272727272727,1,0.318181818181818,0.272727272727273,0.227272727272727,0.227272727272727,0.272727272727273,0.181818181818182,0.318181818181818,0.227272727272727,0.5,0.363636363636364,0.5,0.363636363636364,0.272727272727273,0.272727272727273,1,0.318181818181818,0.318181818181818,0.318181818181818,0.454545454545455,0.454545454545455,0.409090909090909,0.181818181818182,0.181818181818182,0.272727272727273,0.227272727272727,0.227272727272727,0.272727272727273,0.181818181818182,0.681818181818182,0.227272727272727,0.272727272727273,0.409090909090909,0.272727272727273,0.409090909090909,0.590909090909091,1,0.227272727272727,0.318181818181818,1,1,0.363636363636364,0.181818181818182,0.5,0.181818181818182,0.227272727272727,0.318181818181818,0.272727272727273,0.181818181818182,0.272727272727273,0.227272727272727,0.181818181818182,1,0.272727272727273,0.363636363636364,0.272727272727273,0.272727272727273,0.272727272727273,0.363636363636364,0.181818181818182,0.318181818181818,0.272727272727273,0.227272727272727,0.272727272727273,0.318181818181818,0.227272727272727,0.272727272727273,0.272727272727273,0.318181818181818
"84",12,2010,0.0434782608695652,0.130434782608696,0.0869565217391304,0.173913043478261,0.0434782608695652,0.130434782608696,0.0434782608695652,0.173913043478261,0.130434782608696,0.130434782608696,0.0869565217391304,0.173913043478261,0.130434782608696,0.0434782608695652,0.130434782608696,0.0434782608695652,0.0434782608695652,0.217391304347826,1,0.0869565217391304,0.0434782608695652,0.130434782608696,0.217391304347826,0.0869565217391304,1,0.0869565217391304,0,0.173913043478261,0.217391304347826,0.0434782608695652,0.0434782608695652,0.130434782608696,0.217391304347826,0.130434782608696,0.0869565217391304,0.217391304347826,0.260869565217391,0.0869565217391304,0.173913043478261,0.130434782608696,0.0434782608695652,0.0434782608695652,0.478260869565217,0.0434782608695652,0.0869565217391304,0.173913043478261,1,0.130434782608696,0.0869565217391304,0,0.130434782608696,0.478260869565217,0.0869565217391304,0.0434782608695652,0,0.130434782608696,0.0869565217391304,0.0434782608695652,0.0434782608695652,0.0869565217391304,0.391304347826087,0.0434782608695652,0.130434782608696,0.304347826086957,0.0434782608695652,0.434782608695652,0.91304347826087,1,0.0434782608695652,0.173913043478261,1,1,0.0869565217391304,0.0869565217391304,0.391304347826087,0.0434782608695652,0.0869565217391304,0.173913043478261,0.0434782608695652,0.0434782608695652,0.173913043478261,0,0.130434782608696,1,0.0434782608695652,0.0434782608695652,0.173913043478261,0.173913043478261,0.0434782608695652,0.173913043478261,0,0.0869565217391304,0.130434782608696,0.0434782608695652,0.0869565217391304,0.130434782608696,0.391304347826087,0.391304347826087,0.0869565217391304,0.217391304347826
"85",1,2011,0,0.0952380952380952,0,0.0952380952380952,0.0476190476190476,0.19047619047619,0.142857142857143,0.238095238095238,0,0.238095238095238,0.19047619047619,0.0476190476190476,0.238095238095238,0.0952380952380952,0.0476190476190476,0.142857142857143,0,0.0476190476190476,1,0.0952380952380952,0.0952380952380952,0,0.19047619047619,0.0476190476190476,1,0.238095238095238,0.0476190476190476,0.0476190476190476,0.285714285714286,0.380952380952381,0.0476190476190476,0,0.0476190476190476,0.142857142857143,0.0952380952380952,0.0476190476190476,0.0952380952380952,0.0952380952380952,0.19047619047619,0.0476190476190476,0.238095238095238,0.0952380952380952,0.380952380952381,0.142857142857143,0.0952380952380952,0.0476190476190476,1,0.142857142857143,0.0952380952380952,0,0.0952380952380952,0.0952380952380952,0.238095238095238,0.0476190476190476,0.142857142857143,0.142857142857143,0.0476190476190476,0.0952380952380952,0.142857142857143,0.0952380952380952,0.238095238095238,0.0476190476190476,0.0952380952380952,0.0476190476190476,0.0952380952380952,0.333333333333333,0.666666666666667,1,0,0.0476190476190476,1,1,0,0.0476190476190476,0.238095238095238,0.0952380952380952,0.0476190476190476,0.19047619047619,0.238095238095238,0.0476190476190476,0.238095238095238,0.0952380952380952,0.0476190476190476,1,0.0476190476190476,0.142857142857143,0.0952380952380952,0.0952380952380952,0,0.142857142857143,0.0476190476190476,0.0952380952380952,0.0952380952380952,0,0.0952380952380952,0.0952380952380952,0.238095238095238,0.0952380952380952,0,0.380952380952381
"86",2,2011,0.05,0.05,0,0.05,0,0.1,0.1,0.1,0,0.05,0.1,0,0.05,0.1,0.05,0,0.05,0.05,0.2,0.05,0,0,0.1,0.05,1,0.25,0.05,0.1,0.05,0.2,0,0.15,0.2,0.1,0.15,0,0.15,0.15,0.15,0.05,0,0.15,0.3,0.05,0.05,0.05,1,0.35,0.2,0.05,0.15,0,0.1,0,0,0.2,0,0,0.1,0.05,0.4,0.15,0.25,0.05,0.05,0.4,0.6,1,0,0.35,1,1,0.05,0.2,0.25,0.15,0.2,0.3,0.15,0.05,0,0.1,0.05,1,0.05,0.1,0,0.35,0,0.1,0.15,0.05,0.05,0.1,0.1,0.05,0.35,0.15,0.05,0.35
"87",3,2011,0.0434782608695652,0.0434782608695652,0,0.173913043478261,0.0434782608695652,0.0869565217391304,0.217391304347826,0.130434782608696,0.173913043478261,0.130434782608696,0.173913043478261,0.0869565217391304,0.0434782608695652,0.217391304347826,0.0869565217391304,0,0.0434782608695652,0,0.0434782608695652,0.0434782608695652,0,0.0869565217391304,0.130434782608696,0.0869565217391304,1,0.130434782608696,0,0.217391304347826,0.304347826086957,0.130434782608696,0.0869565217391304,0.0869565217391304,0.0434782608695652,0.0869565217391304,0,0.0434782608695652,0.173913043478261,0,0.130434782608696,0,0,0.260869565217391,0.434782608695652,0.173913043478261,0.0869565217391304,0.0869565217391304,1,0.0869565217391304,0.130434782608696,0,0.347826086956522,0.130434782608696,0.130434782608696,0,0,0.130434782608696,0.130434782608696,0.0869565217391304,0.130434782608696,0.0434782608695652,0.260869565217391,0.173913043478261,0.260869565217391,0,0.0434782608695652,0.304347826086957,0.565217391304348,1,0,0.434782608695652,1,1,0.0434782608695652,0.0869565217391304,0.0869565217391304,0.130434782608696,0.217391304347826,0.130434782608696,0.217391304347826,0.0434782608695652,0,0.0869565217391304,0.0434782608695652,1,0,0.0869565217391304,0.0869565217391304,0.173913043478261,0,0.0434782608695652,0.0869565217391304,0.0434782608695652,0.173913043478261,0,0,0.130434782608696,0.260869565217391,0.0869565217391304,0.0434782608695652,0.260869565217391
